x,pred_E_A_given_X,actual_E_A_given_X,pred_E_M_given_X,actual_E_M_given_X,pred_E_C_given_X,actual_E_C_given_X,pred_E_L_given_X,actual_E_L_given_X
32,6.0,1.0,12.857142857142858,32.0,0.29017857142857145,1.0,50.857142857142854,65.0
33,6.235294117647059,3.2857142857142856,12.660633484162895,24.964285714285715,0.2695943391130557,0.685163321526958,51.89592760180995,61.25
34,6.301754385964912,5.023809523809524,12.538011695906432,17.214285714285715,0.26017118921872157,0.4173257538309441,52.839766081871346,56.23809523809524
35,6.264378927017883,5.1395348837209305,13.094248429192847,16.593023255813954,0.2667138812992573,0.37380161366872333,54.35862735621073,56.73255813953488
36,6.181921546333144,5.564102564102564,13.51847640704946,15.965811965811966,0.26756399188652374,0.3385433153951672,55.700397953382605,57.52991452991453
37,6.105173393973849,5.6531791907514455,14.35834754595414,15.589595375722544,0.27744627684704193,0.3121260613839898,57.46352093992799,58.24277456647399
38,6.004504504504505,5.706976744186046,15.00436373873874,16.051162790697674,0.2820123187592025,0.3099336468466147,59.00886824324324,59.75813953488372
39,5.899940511600238,5.581818181818182,15.890660321237359,16.58909090909091,0.2908167667331169,0.31103221564760025,60.7906008328376,61.17090909090909
40,5.751008834114953,5.603498542274052,16.911767913621986,16.740524781341108,0.3021634038608357,0.3005648688046647,62.66277674773694,62.34402332361516
41,5.683136754861333,5.583098591549295,17.599723727552863,17.535211267605632,0.3058057100393423,0.30721317793734454,64.2828604824142,64.11830985915493
42,5.652613278278822,5.407310704960835,18.185374334456156,17.87206266318538,0.30796659277278965,0.31035268763728285,65.83798761273498,65.27937336814621
43,5.612181335794209,5.371638141809291,18.785096320221477,18.843520782396087,0.3100237625835353,0.3181432903003143,67.39727765601569,67.21515892420538
44,5.587281949771125,5.288961038961039,19.21489545960658,20.0974025974026,0.30938440334422934,0.3298137812600622,68.8021774093777,69.38636363636364
45,5.627472679485406,5.1610738255033555,19.614192834416933,20.050335570469798,0.3074623643794115,0.32592924020217084,70.24166551390233,70.21140939597315
46,5.60337418430686,5.006622516556291,19.84848002546554,20.880794701986755,0.30360543212744073,0.33251542958725067,71.4518542097724,71.88741721854305
47,5.602826855123675,5.169960474308301,20.15035335689046,20.68379446640316,0.30087675378750917,0.3202117818410849,72.75318021201413,72.85375494071147
