bs,x,actual_prob,pred_prob,abs_err,ape_percent
2,1,0.29417499999999996,0.25022061247075317,0.0439543875292468,14.941578152204233
2,2,0.705825,0.7497184005448738,0.043893400544873784,6.218737016239689
4,1,0.0012104166666666665,0.006254229458380154,0.005043812791713488,416.7005404513726
4,4,0.25971875,0.29222738583841995,0.03250863583841995,12.51686135037226
4,2,0.2575604166666666,0.23400784971317903,0.02355256695348759,9.144482393025944
4,3,0.48151041666666666,0.4675105292874855,0.013999887379181175,2.907494187996523
8,2,0.0008125,0.00255531418034861,0.0017428141803486103,214.50020681213667
8,4,0.21674166666666667,0.2025604537343269,0.01418121293233976,6.542910345960133
8,7,0.1715625,0.1820766329065417,0.010514132906541684,6.128456338967831
8,5,0.24535833333333337,0.23660389643169194,0.008754436901641433,3.568021017549067
8,3,0.06322916666666666,0.06531385914628941,0.0020846924796227573,3.297042471891017
8,8,0.08606458333333333,0.08887938643888824,0.0028148031055549028,3.270570769689316
8,6,0.21623125,0.2220098294450399,0.0057785794450399,2.6724071775193914
16,4,0.0008187499999999999,0.0015923138496013293,0.0007735638496013294,94.48108086733795
16,5,0.015468749999999998,0.017341117857232045,0.0018723678572320473,12.104196248772832
16,7,0.11925,0.1128312711941487,0.006418728805851301,5.3825818078417615
16,6,0.06681458333333333,0.0634126744655648,0.0034019088677685327,5.09156638872781
16,14,0.08462916666666667,0.08794013687545861,0.0033109702087919385,3.9123275570383793
16,10,0.1020375,0.09840071077956794,0.003636789220432063,3.564169271524746
16,13,0.10264375,0.10575279365424496,0.0031090436542449557,3.028965381959404
16,12,0.10930624999999998,0.11190097649554179,0.0025947264955418076,2.373813478681967
32,7,2.2916666666666667e-05,8.459566143031938e-05,6.167899476365272e-05,269.14470442321186
32,8,0.0006645833333333333,0.0010243927742247865,0.0003598094408914532,54.14060552598669
32,9,0.004275,0.00508613093742019,0.0008111309374201903,18.97382309754831
32,32,0.00104375,0.0011946464164224937,0.00015089641642249368,14.457141693173048
32,19,0.04009583333333334,0.037453888466364445,0.0026419448669688927,6.589075839889164
32,10,0.013656250000000002,0.014502208640962928,0.0008459586409629259,6.194662817119823
32,18,0.03793124999999999,0.03570716632783308,0.002224083672166914,5.863460002417306
32,13,0.07005416666666667,0.06600401838771815,0.0040501482789485205,5.7814523698783375
64,64,2.6041666666666666e-06,8.403120215041054e-06,5.798953548374388e-06,222.67981625757648
