m,theory_prob,real_prob,abs_error,sMAPE_percent
0,0.0,0.0,0.0,0.0
1,0.0051017454405861236,0.0018481182795698926,0.003253627161016231,93.63139457195545
2,0.18344595002105524,0.08618951612903226,0.09725643389202297,72.13919984686808
3,0.41205654861602375,0.10080645161290322,0.31125009700312056,121.37748165267827
4,0.28868929209328015,0.1070228494623656,0.18166644263091455,91.81747212341642
5,0.09245442778334191,0.15288978494623656,0.06043535716289465,49.265769500344625
6,0.016465059501812044,0.2718413978494624,0.25537633834765033,177.15616964936598
7,0.0017013496052446845,0.1975806451612903,0.19587929555604564,196.58504099733074
8,8.562693865615741e-05,0.08182123655913978,0.08173560962048362,199.58183265724264
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
