m,theory_prob,real_prob,abs_error,sMAPE_percent
0,0.0,0.0,0.0,0.0
1,0.09756134291831182,0.021505376344086023,0.07605596657422581,127.75352683836792
2,0.718050863615907,0.4782006048387097,0.2398502587771973,40.100307519295924
3,0.17253550267489767,0.43118909610215056,0.2586535934272529,85.6859548049564
4,0.011544162839845863,0.06550319220430108,0.053959029364455215,140.06718162755237
5,0.00030381622112430793,0.0035912298387096773,0.0032874136175853694,168.7997300717664
6,4.283465990268747e-06,1.0500672043010754e-05,6.217206052742007e-06,84.10643946568823
7,2.8210894530813694e-08,0.0,2.8210894530813694e-08,200.0
8,5.3028474709192095e-11,0.0,5.3028474709192095e-11,200.0
