m,theory_prob,real_prob,abs_error,sMAPE_percent
0,0.0,0.0,0.0,0.0
1,0.07221296121312899,0.009429603494623656,0.06278335771850534,153.80055230563704
2,0.67395156491722,0.19957577284946237,0.4743757920677576,108.61155033351974
3,0.22861930027949942,0.36420530913978494,0.13558600886028552,45.7423685542009
4,0.02393303088397264,0.3284820228494624,0.30454899196548973,172.8354045828298
5,0.0012446050788520316,0.08805863575268817,0.08681403067383614,194.42526355252963
6,3.785508964738004e-05,0.009807627688172043,0.009769772598524663,198.4620321622963
7,6.764937750918537e-07,0.0004410282258064516,0.00044035173203135975,199.38737917427486
8,6.043904400853076e-09,0.0,6.043904400853076e-09,200.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
