m,theory_prob,real_prob,abs_error,sMAPE_percent
0,0.0,0.0,0.0,0.0
1,0.040801577695191084,0.004830309139784946,0.03597126855540614,157.65847546691757
2,0.5591707672646243,0.13062836021505375,0.4285424070495706,124.25136245542603
3,0.33060868163652113,0.1772513440860215,0.15335733755049963,60.3935453798771
4,0.06283445088489627,0.2856182795698925,0.22278382868499624,127.87033029945054
5,0.006209098583409924,0.2794018817204301,0.2731927831370202,191.30411782235473
6,0.0003626341100951062,0.10223454301075269,0.10187190890065759,198.5861828940266
7,1.2572909959265276e-05,0.0189432123655914,0.018930639455632132,199.73468975773886
8,2.1691530297166635e-07,0.0010920698924731182,0.0010918529771701466,199.92056470830653
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
