x,gumbel_prob,actual_prob,abs_diff
0,1.8695229719190518e-05,0.0,1.8695229719190518e-05
1,0.00026294819022133867,0.0,0.00026294819022133867
2,0.0018770813902560354,0.0,0.0018770813902560354
3,0.007803061618172264,0.0,0.007803061618172264
4,0.021444592431078605,0.0004200268817204301,0.021024565549358176
5,0.042974379863315613,0.008400537634408602,0.03457384222890701
6,0.06772681598777514,0.033602150537634407,0.03412466545014073
7,0.08895435906274506,0.0703125,0.018641859062745056
8,0.10178516689029284,0.09375,0.008035166890292836
9,0.10494655364710408,0.09828629032258064,0.0066602633245234355
10,0.10003154484397894,0.09551411290322581,0.0045174319407531305
11,0.08986793459055122,0.08803763440860216,0.00183030018194906
12,0.07721937878520779,0.08190524193548387,0.004685863150276082
13,0.06416440552344015,0.06922043010752688,0.00505602458408673
14,0.05198988023999026,0.05754368279569892,0.005553802555708663
15,0.04133499476328157,0.04771505376344086,0.00638005900015929
16,0.03239931000634438,0.25529233870967744,0.22289302870333305
17,0.025125205686111353,0.0,0.025125205686111353
18,0.01932835544732861,0.0,0.01932835544732861
19,0.01477950339935432,0.0,0.01477950339935432
20,0.011250109763112819,0.0,0.011250109763112819
21,0.008534452749188638,0.0,0.008534452749188638
22,0.006457801018177954,0.0,0.006457801018177954
23,0.004877082881572743,0.0,0.004877082881572743
24,0.0036779829592066323,0.0,0.0036779829592066323
25,0.00277069865238944,0.0,0.00277069865238944
26,0.0020855276591821323,0.0,0.0020855276591821323
27,0.0015688362278130107,0.0,0.0015688362278130107
28,0.0011796149734097944,0.0,0.0011796149734097944
29,0.0008866526715425329,0.0,0.0008866526715425329
30,0.0006662766349602177,0.0,0.0006662766349602177
31,0.0005005775829524114,0.0,0.0005005775829524114
32,0.0003760321295515073,0.0,0.0003760321295515073
33,0.00028244312910819013,0.0,0.00028244312910819013
34,0.00021212966695949328,0.0,0.00021212966695949328
35,0.00015931072968611315,0.0,0.00015931072968611315
36,0.00011963783239676857,0.0,0.00011963783239676857
37,8.984149015367495e-05,0.0,8.984149015367495e-05
38,6.746430035819993e-05,0.0,6.746430035819993e-05
39,5.0659696377630755e-05,0.0,5.0659696377630755e-05
40,3.804037176635694e-05,0.0,3.804037176635694e-05
41,2.8564203822800712e-05,0.0,2.8564203822800712e-05
42,2.1448448897176706e-05,0.0,2.1448448897176706e-05
43,1.610523075401551e-05,0.0,1.610523075401551e-05
44,1.2093053695871897e-05,0.0,1.2093053695871897e-05
45,9.080368745806324e-06,0.0,9.080368745806324e-06
46,6.818201684577484e-06,0.0,6.818201684577484e-06
47,5.119591884872329e-06,0.0,5.119591884872329e-06
48,3.844148839249334e-06,0.0,3.844148839249334e-06
49,2.8864534772354886e-06,0.0,2.8864534772354886e-06
50,2.167347581627513e-06,0.0,2.167347581627513e-06
51,1.6273924453580358e-06,0.0,1.6273924453580358e-06
52,1.2219567095961298e-06,0.0,1.2219567095961298e-06
53,9.175277138062668e-07,0.0,9.175277138062668e-07
54,6.889416579447537e-07,0.0,6.889416579447537e-07
55,5.173037347372407e-07,0.0,5.173037347372407e-07
56,3.8842637917202497e-07,0.0,3.8842637917202497e-07
57,2.916565742250303e-07,0.0,2.916565742250303e-07
58,2.1899529634161784e-07,0.0,2.1899529634161784e-07
59,1.6443633044094265e-07,0.0,1.6443633044094265e-07
60,1.2346980005073523e-07,0.0,1.2346980005073523e-07
61,9.270938461369851e-08,0.0,9.270938461369851e-08
62,6.961240506253585e-08,0.0,6.961240506253585e-08
63,5.226964761018145e-08,0.0,5.226964761018145e-08
64,3.92475451027608e-08,0.0,3.92475451027608e-08
65,2.9469679918570123e-08,0.0,2.9469679918570123e-08
66,2.2127805032745617e-08,0.0,2.2127805032745617e-08
67,1.6615034570399724e-08,0.0,1.6615034570399724e-08
68,1.2475678157208865e-08,0.0,1.2475678157208865e-08
69,9.367572717522434e-09,0.0,9.367572717522434e-09
70,7.03379954281048e-09,0.0,7.03379954281048e-09
71,5.2814465023587406e-09,0.0,5.2814465023587406e-09
72,3.9656630201889756e-09,0.0,3.9656630201889756e-09
73,2.977684654403849e-09,0.0,2.977684654403849e-09
74,2.2358446205572624e-09,0.0,2.2358446205572624e-09
75,1.6788215262408837e-09,0.0,1.6788215262408837e-09
76,1.260571313999039e-09,0.0,1.260571313999039e-09
77,9.46521194755691e-10,0.0,9.46521194755691e-10
78,7.107112676152393e-10,0.0,7.107112676152393e-10
79,5.336495689789452e-10,0.0,5.336495689789452e-10
80,4.0069969564626774e-10,0.0,4.0069969564626774e-10
81,3.0087221603025724e-10,0.0,3.0087221603025724e-10
82,2.2591484238887494e-10,0.0,2.2591484238887494e-10
83,1.6963197513320006e-10,0.0,1.6963197513320006e-10
84,1.273711136562385e-10,0.0,1.273711136562385e-10
85,9.563860814409978e-11,0.0,9.563860814409978e-11
86,7.181188976801433e-11,0.0,7.181188976801433e-11
87,5.392120083769222e-11,0.0,5.392120083769222e-11
88,4.048761326203027e-11,0.0,4.048761326203027e-11
89,3.040090401640332e-11,0.0,3.040090401640332e-11
90,2.282696254241049e-11,0.0,2.282696254241049e-11
91,1.713995612107058e-11,0.0,1.713995612107058e-11
92,1.2869816323757295e-11,0.0,1.2869816323757295e-11
93,9.663603250942302e-12,0.0,9.663603250942302e-12
94,7.256084622042646e-12,0.0,7.256084622042646e-12
95,5.448308471045501e-12,0.0,5.448308471045501e-12
96,4.0909498011387825e-12,0.0,4.0909498011387825e-12
97,3.0717650645328876e-12,0.0,3.0717650645328876e-12
98,2.306488333658766e-12,0.0,2.306488333658766e-12
99,1.7318368961127841e-12,0.0,1.7318368961127841e-12
100,1.3004042287434477e-12,0.0,1.3004042287434477e-12
101,9.764411501578266e-13,0.0,9.764411501578266e-13
102,7.331912854624544e-13,0.0,7.331912854624544e-13
103,5.504485756091534e-13,0.0,5.504485756091534e-13
104,4.134470543704089e-13,0.0,4.134470543704089e-13
105,3.103073353827317e-13,0.0,3.103073353827317e-13
106,2.330358128688207e-13,0.0,2.330358128688207e-13
107,1.7508217098338744e-13,0.0,1.7508217098338744e-13
108,1.3133938381315622e-13,0.0,1.3133938381315622e-13
109,9.869882688917656e-14,0.0,9.869882688917656e-14
110,7.405187574249804e-14,0.0,7.405187574249804e-14
111,5.5622173533720425e-14,0.0,5.5622173533720425e-14
112,4.174438572590595e-14,0.0,4.174438572590595e-14
113,3.1419311596891974e-14,0.0,3.1419311596891974e-14
114,2.3536728122053353e-14,0.0,2.3536728122053353e-14
115,1.7652546091540014e-14,0.0,1.7652546091540014e-14
116,1.3322676295501897e-14,0.0,1.3322676295501897e-14
117,9.880984919163907e-15,0.0,9.880984919163907e-15
118,7.549516567451076e-15,0.0,7.549516567451076e-15
119,5.5511151231257906e-15,0.0,5.5511151231257906e-15
120,4.218847493575601e-15,0.0,4.218847493575601e-15
121,3.2196467714129587e-15,0.0,3.2196467714129587e-15
122,2.3314683517128323e-15,0.0,2.3314683517128323e-15
123,1.7763568394002532e-15,0.0,1.7763568394002532e-15
124,1.4432899320127057e-15,0.0,1.4432899320127057e-15
125,9.992007221626423e-16,0.0,9.992007221626423e-16
126,6.661338147750949e-16,0.0,6.661338147750949e-16
127,6.661338147750949e-16,0.0,6.661338147750949e-16
128,3.3306690738754746e-16,0.0,3.3306690738754746e-16
