x,gumbel_prob,actual_prob,abs_diff
0,3.583731084795058e-24,0,3.583731084795058e-24
1,2.0023066702213677e-19,0,2.0023066702213677e-19
2,1.2231277064639097e-15,0,1.2231277064639097e-15
3,1.27806775153235e-12,0,1.27806775153235e-12
4,3.2608557014806287e-10,0,3.2608557014806287e-10
5,2.693213869433122e-08,0,2.693213869433122e-08
6,8.998904971770477e-07,0,8.998904971770477e-07
7,1.4513376937854144e-05,0,1.4513376937854144e-05
8,0.0001300539064113356,0.00016801075268817206,3.7956846276836464e-05
9,0.0007250299367913049,0.0018481182795698926,0.0011230883427785876
10,0.0027552792077911456,0.006384408602150538,0.0036291293943593924
11,0.007686948425628266,0.015625,0.007938051574371734
12,0.016720631610564217,0.0270497311827957,0.010329099572231482
13,0.029774251240288967,0.04133064516129032,0.011556393921001353
14,0.04514903006997651,0.04519489247311828,4.586240314177065e-05
15,0.060186552282906855,0.048219086021505375,0.01196746626140148
16,0.0723647049244063,0.04956317204301075,0.022801532881395553
17,0.08010867152203913,0.045530913978494625,0.0345777575435445
18,0.08301190102653183,0.046875,0.03613690102653183
19,0.08159563801934155,0.04536290322580645,0.0362327347935351
20,0.07689000778271599,0.04838709677419355,0.02850291100852244
21,0.0700548668961597,0.04334677419354839,0.026708092702611305
22,0.06213294293313376,0.04233870967741935,0.01979423325571441
23,0.053935922841130246,0.038306451612903226,0.01562947122822702
24,0.04602460191584434,0.03494623655913978,0.011078365356704561
25,0.0387401718914393,0.03377016129032258,0.004970010601116723
26,0.03225471608158992,0.0324260752688172,0.00017135918722728516
27,0.026622166054402596,0.029737903225806453,0.0031157371714038568
28,0.021821108945222156,0.027721774193548387,0.0059006652483262305
29,0.017787043442656247,0.02217741935483871,0.004390375912182463
30,0.014434811923556667,0.0198252688172043,0.005390456893647633
31,0.011673130798673381,0.019993279569892473,0.008320148771219091
32,0.0474043757938597,0.23387096774193547,0.18646659194807577
