local_bs,level,x,prob,gumbel_prob
32,fixed_original,0,0.0,6.86993348471615e-05
32,fixed_original,1,0.0,0.00017553111149986488
32,fixed_original,2,0.0,0.0004898774793361879
32,fixed_original,3,0.0,0.0011734474968548864
32,fixed_original,4,0.0,0.002460817888612054
32,fixed_original,5,0.0,0.004596591215359562
32,fixed_original,6,0.0,0.007763798349360875
32,fixed_original,7,0.0,0.012014233242856727
32,fixed_original,8,0.00016801075268817206,0.017229324493186277
32,fixed_original,9,0.0018481182795698926,0.023126812807875364
32,fixed_original,10,0.006384408602150538,0.029309135588692168
32,fixed_original,11,0.015625,0.035334996681626214
32,fixed_original,12,0.0270497311827957,0.04079157073415564
32,fixed_original,13,0.04133064516129032,0.045349848130480035
32,fixed_original,14,0.04519489247311828,0.04879486655481129
32,fixed_original,15,0.048219086021505375,0.05103125315586652
32,fixed_original,16,0.04956317204301075,0.05207001375935202
32,fixed_original,17,0.045530913978494625,0.05200446618177644
32,fixed_original,18,0.046875,0.05098255750381693
32,fixed_original,19,0.04536290322580645,0.049180824237636186
32,fixed_original,20,0.04838709677419355,0.046783009100587074
32,fixed_original,21,0.04334677419354839,0.043964462510837986
32,fixed_original,22,0.04233870967741935,0.040882165407424766
32,fixed_original,23,0.038306451612903226,0.037669495940183755
32,fixed_original,24,0.03494623655913978,0.0344345924905918
32,fixed_original,25,0.03377016129032258,0.03126118113754839
32,fixed_original,26,0.0324260752688172,0.028210902002034747
32,fixed_original,27,0.029737903225806453,0.02532639013991614
32,fixed_original,28,0.027721774193548387,0.022634584824354965
32,fixed_original,29,0.02217741935483871,0.020149927194927596
32,fixed_original,30,0.0198252688172043,0.017877250509229354
32,fixed_original,31,0.019993279569892473,0.015814270703442573
32,fixed_original,32,0.23387096774193547,0.01395365388916368
32,fixed_original,33,0.0,0.012284679594026841
32,fixed_original,34,0.0,0.010794541441025889
32,fixed_original,35,0.0,0.009469336789395915
32,fixed_original,36,0.0,0.008294798426663674
32,fixed_original,37,0.0,0.007256818171795927
32,fixed_original,38,0.0,0.00634180658852327
32,fixed_original,39,0.0,0.005536926441496505
32,fixed_original,40,0.0,0.004830230976507572
32,fixed_original,41,0.0,0.004210732075447313
32,fixed_original,42,0.0,0.003668418062221528
32,fixed_original,43,0.0,0.0031942364854038543
32,fixed_original,44,0.0,0.0027800535485349286
32,fixed_original,45,0.0,0.002418598921533314
32,fixed_original,46,0.0,0.002103402348063736
32,fixed_original,47,0.0,0.00182872666229574
32,fixed_original,48,0.0,0.0015895004491333835
32,fixed_original,49,0.0,0.001381252540580066
32,fixed_original,50,0.0,0.0012000497658256107
32,fixed_original,51,0.0,0.0010424388046328828
32,fixed_original,52,0.0,0.0009053925845870371
32,fixed_original,53,0.0,0.0007862613744502937
32,fixed_original,54,0.0,0.0006827285280849968
32,fixed_original,55,0.0,0.0005927707027617563
32,fixed_original,56,0.0,0.0005146222941605487
32,fixed_original,57,0.0,0.0004467437842677553
32,fixed_original,58,0.0,0.00038779367736457734
32,fixed_original,59,0.0,0.0003366036956403144
32,fixed_original,60,0.0,0.00029215691395925914
32,fixed_original,61,0.0,0.00025356852877126557
32,fixed_original,62,0.0,0.00022006897607478246
32,fixed_original,63,0.0,0.000190989135579136
32,fixed_original,64,0.0,0.0001657473812606338
32,fixed_original,65,0.0,0.0001438382613656701
32,fixed_original,66,0.0,0.00012482261291641382
32,fixed_original,67,0.0,0.00010831893648842813
