local_bs,level,description,num_samples,expected_x,p95_x,spike_x,spike_prob,tvd_vs_single_gumbel,max_prob_x,max_prob
32,fixed_original,existing fixed-batch logs,5952,22.88155241935484,32,32,0.23387096774193547,0.2485039207466167,32,0.23387096774193547
32,L0_global_iid_shuffle,sample tokens iid from all-layer bs=1 pool,5952,8.963877688172044,11,32,0.0,0.8394707122395267,9,0.3022513440860215
32,L1_layer_iid_shuffle,sample tokens iid within the same layer,5952,19.882560483870968,29,32,0.0013440860215053765,0.25271693937516393,14,0.07409274193548387
32,L2_layer_without_replacement,sample tokens within layer without replacement per synthetic batch,5952,19.886256720430108,29,32,0.0008400537634408602,0.2381681146155761,14,0.07090053763440861
32,L3_arrival_departure,persistent lanes with random request lengths/replacements,5952,19.812163978494624,29,32,0.0005040322580645161,0.2526170393467589,13,0.07644489247311828
16,fixed_original,existing fixed-batch logs,11904,11.784358198924732,16,16,0.25529233870967744,0.2445687779935638,16,0.25529233870967744
16,L0_global_iid_shuffle,sample tokens iid from all-layer bs=1 pool,11904,5.39885752688172,7,16,0.0,0.7542022720099244,5,0.4581653225806452
16,L1_layer_iid_shuffle,sample tokens iid within the same layer,11904,10.28309811827957,15,16,0.015120967741935484,0.18671681025201808,8,0.12331989247311828
16,L2_layer_without_replacement,sample tokens within layer without replacement per synthetic batch,11904,10.282006048387096,15,16,0.015372983870967742,0.18404749659083486,8,0.12071572580645161
16,L3_arrival_departure,persistent lanes with random request lengths/replacements,11904,10.33350134408602,15,16,0.015877016129032258,0.18822890702621162,7,0.12155577956989247
