local_bs,level,layer,num_samples,expected_x,p95_x,spike_x,spike_prob,max_prob_x,max_prob
32,fixed_original,0,248,17.814516129032256,32,32,0.13306451612903225,12,0.13306451612903225
32,fixed_original,1,248,17.088709677419352,32,32,0.16532258064516128,11,0.1693548387096774
32,fixed_original,2,248,22.81048387096774,32,32,0.2903225806451613,32,0.2903225806451613
32,fixed_original,3,248,22.95967741935484,32,32,0.21774193548387097,32,0.21774193548387097
32,fixed_original,4,248,23.088709677419356,32,32,0.28225806451612906,32,0.28225806451612906
32,fixed_original,5,248,24.564516129032256,32,32,0.22580645161290322,32,0.22580645161290322
32,fixed_original,6,248,19.157258064516128,32,32,0.18951612903225806,32,0.18951612903225806
32,fixed_original,7,248,20.141129032258064,32,32,0.22580645161290322,32,0.22580645161290322
32,fixed_original,8,248,19.931451612903224,32,32,0.20967741935483872,32,0.20967741935483872
32,fixed_original,9,248,24.729838709677423,32,32,0.28225806451612906,32,0.28225806451612906
32,fixed_original,10,248,28.161290322580644,32,32,0.2903225806451613,32,0.2903225806451613
32,fixed_original,11,248,27.653225806451612,32,32,0.2903225806451613,32,0.2903225806451613
32,fixed_original,12,248,24.23790322580645,32,32,0.2862903225806452,32,0.2862903225806452
32,fixed_original,13,248,25.391129032258064,32,32,0.27419354838709675,32,0.27419354838709675
32,fixed_original,14,248,20.286290322580644,32,32,0.18548387096774194,32,0.18548387096774194
32,fixed_original,15,248,19.366935483870968,32,32,0.1814516129032258,32,0.1814516129032258
32,fixed_original,16,248,19.943548387096776,32,32,0.1975806451612903,32,0.1975806451612903
32,fixed_original,17,248,24.068548387096776,32,32,0.2661290322580645,32,0.2661290322580645
32,fixed_original,18,248,19.94758064516129,32,32,0.17338709677419356,32,0.17338709677419356
32,fixed_original,19,248,23.608870967741932,32,32,0.23790322580645162,32,0.23790322580645162
32,fixed_original,20,248,19.733870967741936,32,32,0.16129032258064516,32,0.16129032258064516
32,fixed_original,21,248,25.826612903225808,32,32,0.24193548387096775,32,0.24193548387096775
32,fixed_original,22,248,29.096774193548384,32,32,0.31048387096774194,32,0.31048387096774194
32,fixed_original,23,248,29.548387096774196,32,32,0.29435483870967744,32,0.29435483870967744
32,L0_global_iid_shuffle,0,248,9.064516129032258,11,32,0.0,8,0.2862903225806452
32,L0_global_iid_shuffle,1,248,8.858870967741936,11,32,0.0,9,0.3225806451612903
32,L0_global_iid_shuffle,2,248,8.875,11,32,0.0,8,0.29838709677419356
32,L0_global_iid_shuffle,3,248,8.971774193548388,11,32,0.0,9,0.34274193548387094
32,L0_global_iid_shuffle,4,248,8.975806451612904,11,32,0.0,9,0.3225806451612903
32,L0_global_iid_shuffle,5,248,8.862903225806452,11,32,0.0,9,0.34274193548387094
32,L0_global_iid_shuffle,6,248,9.068548387096774,11,32,0.0,8,0.3064516129032258
32,L0_global_iid_shuffle,7,248,8.838709677419356,11,32,0.0,8,0.3629032258064516
32,L0_global_iid_shuffle,8,248,8.951612903225806,12,32,0.0,9,0.2862903225806452
32,L0_global_iid_shuffle,9,248,9.080645161290324,12,32,0.0,8,0.3024193548387097
32,L0_global_iid_shuffle,10,248,9.016129032258064,12,32,0.0,8,0.34274193548387094
32,L0_global_iid_shuffle,11,248,9.05241935483871,11,32,0.0,9,0.29838709677419356
32,L0_global_iid_shuffle,12,248,8.866935483870966,11,32,0.0,8,0.32661290322580644
32,L0_global_iid_shuffle,13,248,8.97983870967742,11,32,0.0,9,0.32661290322580644
32,L0_global_iid_shuffle,14,248,8.967741935483872,11,32,0.0,9,0.3064516129032258
32,L0_global_iid_shuffle,15,248,8.919354838709678,11,32,0.0,9,0.31451612903225806
32,L0_global_iid_shuffle,16,248,8.97983870967742,11,32,0.0,9,0.3064516129032258
32,L0_global_iid_shuffle,17,248,9.201612903225806,12,32,0.0,8,0.29838709677419356
32,L0_global_iid_shuffle,18,248,8.879032258064516,11,32,0.0,9,0.3387096774193548
32,L0_global_iid_shuffle,19,248,8.951612903225808,11,32,0.0,8,0.3346774193548387
32,L0_global_iid_shuffle,20,248,9.10483870967742,12,32,0.0,9,0.3387096774193548
32,L0_global_iid_shuffle,21,248,8.935483870967742,11,32,0.0,9,0.28225806451612906
32,L0_global_iid_shuffle,22,248,8.935483870967742,11,32,0.0,8,0.33064516129032256
32,L0_global_iid_shuffle,23,248,8.79435483870968,11,32,0.0,9,0.29435483870967744
32,L1_layer_iid_shuffle,0,248,11.733870967741936,15,32,0.0,12,0.2540322580645161
32,L1_layer_iid_shuffle,1,248,12.72983870967742,16,32,0.0,12,0.2540322580645161
32,L1_layer_iid_shuffle,2,248,20.427419354838708,25,32,0.0,19,0.18951612903225806
32,L1_layer_iid_shuffle,3,248,20.169354838709676,24,32,0.0,21,0.1693548387096774
32,L1_layer_iid_shuffle,4,248,23.0,27,32,0.0,24,0.18951612903225806
32,L1_layer_iid_shuffle,5,248,21.592741935483872,25,32,0.0,20,0.17338709677419356
32,L1_layer_iid_shuffle,6,248,13.967741935483872,18,32,0.0,13,0.20967741935483872
32,L1_layer_iid_shuffle,7,248,15.560483870967742,19,32,0.0,16,0.1975806451612903
32,L1_layer_iid_shuffle,8,248,13.826612903225806,17,32,0.0,14,0.2217741935483871
32,L1_layer_iid_shuffle,9,248,23.983870967741936,27,32,0.0,26,0.17338709677419356
32,L1_layer_iid_shuffle,10,248,27.866935483870968,31,32,0.008064516129032258,28,0.2217741935483871
32,L1_layer_iid_shuffle,11,248,27.258064516129032,30,32,0.012096774193548387,27,0.1975806451612903
32,L1_layer_iid_shuffle,12,248,23.27016129032258,27,32,0.0,24,0.1935483870967742
32,L1_layer_iid_shuffle,13,248,23.358870967741936,27,32,0.0,23,0.1774193548387097
32,L1_layer_iid_shuffle,14,248,15.42741935483871,20,32,0.0,15,0.15725806451612903
32,L1_layer_iid_shuffle,15,248,14.245967741935484,18,32,0.0,13,0.22983870967741934
32,L1_layer_iid_shuffle,16,248,15.354838709677418,20,32,0.0,14,0.1935483870967742
32,L1_layer_iid_shuffle,17,248,22.14516129032258,26,32,0.0,22,0.1975806451612903
32,L1_layer_iid_shuffle,18,248,14.350806451612904,18,32,0.0,14,0.23790322580645162
32,L1_layer_iid_shuffle,19,248,22.91532258064516,27,32,0.0,23,0.18951612903225806
32,L1_layer_iid_shuffle,20,248,14.762096774193548,19,32,0.0,14,0.18951612903225806
32,L1_layer_iid_shuffle,21,248,24.818548387096776,29,32,0.004032258064516129,26,0.1693548387096774
32,L1_layer_iid_shuffle,22,248,26.895161290322584,30,32,0.0,27,0.20161290322580644
32,L1_layer_iid_shuffle,23,248,27.520161290322584,30,32,0.008064516129032258,29,0.2056451612903226
32,L2_layer_without_replacement,0,248,11.754032258064516,15,32,0.0,11,0.25
32,L2_layer_without_replacement,1,248,12.633064516129032,16,32,0.0,11,0.18951612903225806
32,L2_layer_without_replacement,2,248,20.524193548387096,25,32,0.0,19,0.1532258064516129
32,L2_layer_without_replacement,3,248,19.725806451612904,24,32,0.0,20,0.1532258064516129
32,L2_layer_without_replacement,4,248,22.85483870967742,27,32,0.0,23,0.16532258064516128
32,L2_layer_without_replacement,5,248,21.608870967741936,25,32,0.0,23,0.1814516129032258
32,L2_layer_without_replacement,6,248,13.850806451612902,18,32,0.0,13,0.2056451612903226
32,L2_layer_without_replacement,7,248,15.669354838709678,20,32,0.0,16,0.17338709677419356
32,L2_layer_without_replacement,8,248,13.814516129032258,17,32,0.0,14,0.21370967741935484
32,L2_layer_without_replacement,9,248,24.088709677419352,28,32,0.0,24,0.1935483870967742
32,L2_layer_without_replacement,10,248,27.983870967741936,31,32,0.008064516129032258,28,0.22580645161290322
32,L2_layer_without_replacement,11,248,27.407258064516128,30,32,0.004032258064516129,27,0.22983870967741934
32,L2_layer_without_replacement,12,248,23.104838709677416,27,32,0.0,23,0.1975806451612903
32,L2_layer_without_replacement,13,248,23.58064516129032,27,32,0.0,23,0.17338709677419356
32,L2_layer_without_replacement,14,248,15.713709677419356,20,32,0.0,15,0.21774193548387097
32,L2_layer_without_replacement,15,248,14.036290322580644,18,32,0.0,14,0.2540322580645161
32,L2_layer_without_replacement,16,248,15.544354838709678,20,32,0.0,13,0.1774193548387097
32,L2_layer_without_replacement,17,248,21.80241935483871,26,32,0.0,20,0.1693548387096774
32,L2_layer_without_replacement,18,248,14.32258064516129,18,32,0.0,14,0.23790322580645162
32,L2_layer_without_replacement,19,248,22.93951612903226,27,32,0.004032258064516129,24,0.18951612903225806
32,L2_layer_without_replacement,20,248,14.866935483870968,19,32,0.0,14,0.18548387096774194
32,L2_layer_without_replacement,21,248,24.842741935483872,28,32,0.0,25,0.17338709677419356
32,L2_layer_without_replacement,22,248,27.112903225806452,30,32,0.0,27,0.22580645161290322
32,L2_layer_without_replacement,23,248,27.487903225806456,30,32,0.004032258064516129,28,0.23790322580645162
32,L3_arrival_departure,0,248,11.463709677419356,15,32,0.0,11,0.31451612903225806
32,L3_arrival_departure,1,248,12.592741935483872,16,32,0.0,12,0.23790322580645162
32,L3_arrival_departure,2,248,20.479838709677416,25,32,0.0,20,0.1693548387096774
32,L3_arrival_departure,3,248,19.721774193548384,23,32,0.0,20,0.20967741935483872
32,L3_arrival_departure,4,248,23.104838709677416,27,32,0.0,24,0.1693548387096774
32,L3_arrival_departure,5,248,21.475806451612904,25,32,0.0,22,0.20967741935483872
32,L3_arrival_departure,6,248,13.649193548387096,17,32,0.0,13,0.24193548387096775
32,L3_arrival_departure,7,248,15.842741935483868,20,32,0.0,15,0.1814516129032258
32,L3_arrival_departure,8,248,13.391129032258064,17,32,0.0,13,0.2620967741935484
32,L3_arrival_departure,9,248,24.028225806451616,27,32,0.0,24,0.14516129032258066
32,L3_arrival_departure,10,248,27.854838709677416,31,32,0.004032258064516129,27,0.21774193548387097
32,L3_arrival_departure,11,248,27.088709677419352,30,32,0.004032258064516129,27,0.1975806451612903
32,L3_arrival_departure,12,248,23.141129032258064,27,32,0.0,23,0.1975806451612903
32,L3_arrival_departure,13,248,23.483870967741936,27,32,0.0,24,0.1814516129032258
32,L3_arrival_departure,14,248,15.733870967741936,20,32,0.0,15,0.2056451612903226
