series,expected_x,p95_x,spike_x32_prob,tvd_vs_marginal_pred,tvd_vs_cont_batch,tvd_vs_fixed,global_mape_vs_cont_batch,global_mape_vs_fixed
pred_bs1_marginal_expansion,19.950904669632955,29,0.001194646416422404,0.0,0.028200311917282797,0.27714038303779936,7.546415104775238,74.80354724325215
fixed_actual_no_cont_batch,22.881552419354836,32,0.23387096774193553,0.27714038303779936,0.26797715053763443,0.0,730.5421285577418,0.0
cont_batch,19.79737903225806,29,0.0013440860215053762,0.028200311917282797,0.0,0.26797715053763443,0.0,64.30561100166133
tuple_pmf_mc_reference,19.916666666666664,29,0.0013440860215053762,0.022878292318731362,0.026041666666666664,0.27755376344086025,7.928936610749669,59.19303178176733
pairwise_cov_normal,19.87053763888889,29,0.003537916666666666,0.02026479005175502,0.025764865591397818,0.2754209632616488,12.57210563732199,61.56033797235152
