case,removed_spike_x,actual_expected_max,gumbel_expected_max,tvd,plot_path
all,64,47.202169274537695,44.00349358429474,0.13161052555123753,./output/actual_vs_gumbel_spike_removed/actual_vs_gumbel_spike_removed_ep4_bs32_source_ep4_bs1_spike64_all.png
layer0,64,46.026905829596416,39.89133724908899,0.368941389574533,./output/actual_vs_gumbel_spike_removed/actual_vs_gumbel_spike_removed_ep4_bs32_source_ep4_bs1_spike64_layer0.png
layer10,64,45.58606557377049,41.63435191184244,0.42786113073286997,./output/actual_vs_gumbel_spike_removed/actual_vs_gumbel_spike_removed_ep4_bs32_source_ep4_bs1_spike64_layer10.png
layer23,64,47.85123966942149,45.49577229277763,0.22077172785997515,./output/actual_vs_gumbel_spike_removed/actual_vs_gumbel_spike_removed_ep4_bs32_source_ep4_bs1_spike64_layer23.png
