m,theory_prob,real_prob,abs_error,sMAPE_percent
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,5.6100066588731235e-05,0.006048387096774193,0.005992287030185462,196.3240111683468
33,0.0019470387826985873,0.004704301075268817,0.00275726229257023,82.90847713239019
34,0.007664280430527839,0.007056451612903226,0.0006078288176246133,8.25813303076662
35,0.017365642999369265,0.014448924731182795,0.00291671826818647,18.335740362019735
36,0.0302021385430874,0.01965725806451613,0.010544880478571272,42.29846807637934
37,0.044316310357582885,0.029065860215053762,0.015250450142529123,41.56445638912686
38,0.057775851787274214,0.03612231182795699,0.021653539959317222,46.121327884637786
39,0.06899164176963787,0.04620295698924731,0.02278868478039056,39.565543915977784
40,0.07649507136545854,0.05762768817204301,0.018867383193415528,28.134498959723672
41,0.0791767681365782,0.05964381720430108,0.019532950932277124,28.141288821558007
42,0.07732927776709725,0.06434811827956989,0.012981159487527358,18.32495493247419
43,0.07249039628059926,0.06871639784946236,0.0037739984311369046,5.345349640415716
44,0.06624965825009323,0.05174731182795699,0.014502346422136235,24.580879343839964
45,0.0596528364394136,0.050067204301075266,0.00958563213833833,17.472892050797505
46,0.05326378755677818,0.050739247311827954,0.0025245402449502255,4.854743418092833
47,0.04731189635544759,0.042506720430107524,0.004805175925340063,10.699732632963116
48,0.04178334609816028,0.04233870967741935,0.0005553635792590744,1.3203756711335501
49,0.036564779026746125,0.03377016129032258,0.0027946177364235464,7.9465987283857995
50,0.03158706636471007,0.026881720430107527,0.004705345934602544,16.09524052932668
51,0.02687192208972293,0.025705645161290324,0.001166276928432606,4.43640506554677
52,0.022493558180156716,0.022513440860215055,1.9882680058338348e-05,0.08835372489733594
