m,theory_prob,real_prob,abs_error,sMAPE_percent
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.00042902362076428194,0.008484543010752688,0.008055519389988405,180.74738705616122
17,0.0142137323673557,0.014028897849462365,0.00018483451789333416,1.308904421963277
18,0.04993428052006823,0.03477822580645161,0.01515605471361662,35.78233101780371
19,0.09516494216916564,0.06510416666666667,0.03006077550249897,37.5128753393032
20,0.13179226360967633,0.09887432795698925,0.03291793565268708,28.541571997151028
21,0.1454007063281061,0.11525537634408602,0.030145329984020072,23.13034836937347
22,0.13638757207815091,0.11382728494623656,0.022560287131914353,18.032731869087602
23,0.11528799280074535,0.09694220430107527,0.018345788499670085,17.288575094587898
24,0.09146710193017232,0.08190524193548387,0.009561859994688449,11.030432860846364
25,0.06960896749615005,0.06266801075268817,0.0069409567434618735,10.494580138358787
26,0.051064610531591136,0.04931115591397849,0.001753454617612643,3.493780779374635
27,0.03598625933522818,0.03637432795698925,0.00038806862176107154,1.072596661477924
28,0.02428831501677114,0.028729838709677418,0.004441523692906277,16.754727883670476
29,0.015709061583169998,0.023269489247311828,0.00756042766414183,38.79275911011786
30,0.009774280379923471,0.02049731182795699,0.010723031448033517,70.84550673381523
31,0.005886803044890389,0.02528561827956989,0.0193988152346795,124.46139510797448
32,0.0034531070444198363,0.07232862903225806,0.06887552198783822,181.7734075612842
33,0.001976018132201293,0.00949260752688172,0.007516589394680428,131.08090922345832
34,0.0010953696550391522,0.005040322580645161,0.003944952925606009,128.59031301024925
35,0.0005792437890680009,0.003864247311827957,0.003285003522759956,147.85687416354173
36,0.00028675979981912075,0.003528225806451613,0.003241466006632492,169.93332825709533
37,0.00013059034457930667,0.003360215053763441,0.003229624709184134,185.03607853462077
38,5.39315884201115e-05,0.002856182795698925,0.0028022512072788134,192.58701462534606
39,1.997294741113454e-05,0.003528225806451613,0.0035082528590404784,197.74838459774656
40,6.572528399994129e-06,0.0015961021505376345,0.0015895296221376403,198.3596100977022
41,1.9065674288122069e-06,0.0020161290322580645,0.0020142224648292523,199.62209439137584
42,4.83946290951026e-07,0.0015961021505376345,0.0015956182042466834,199.87875472749954
43,1.0672298291759055e-07,0.0023521505376344087,0.002352043814651491,199.98185181787647
44,2.0300126732473035e-08,0.0019321236559139785,0.0019321033557872461,199.9957973883532
45,3.305675520265408e-09,0.0012600806451612903,0.00126007733948577,199.9989506491157
46,4.57229714103026e-10,0.0016801075268817205,0.0016801070696520063,199.99989114277926
47,5.330863429837937e-11,0.0018481182795698926,0.0018481182262612584,199.9999884620734
48,5.210507190711628e-12,0.005628360215053764,0.005628360209843256,199.99999962969625
49,4.2719796356076465e-13,0.0005880376344086022,0.0005880376339814042,199.99999970940772
50,2.9596657862957945e-14,0.00016801075268817206,0.0001680107526585754,199.99999992953627
51,1.7300322022750335e-15,0.0,1.7300322022750335e-15,200.0
52,8.49285703182541e-17,0.0,8.49285703182541e-17,200.0
53,3.4886244016784865e-18,0.0,3.4886244016784865e-18,200.0
54,1.1956462237351454e-19,0.0,1.1956462237351454e-19,200.0
55,3.408088837902092e-21,0.0,3.408088837902092e-21,200.0
56,8.045178209978037e-23,0.0,8.045178209978037e-23,199.99999999999997
57,1.564062030874312e-24,0.0,1.564062030874312e-24,200.0
58,2.4875030242136283e-26,0.0,2.4875030242136283e-26,200.0
59,3.2146776185330996e-28,0.0,3.2146776185330996e-28,200.0
60,3.3595242948726966e-30,0.0,3.3595242948726966e-30,200.0
61,2.832190678467344e-32,0.0,2.832190678467344e-32,200.0
62,1.9020918891707492e-34,0.0,1.9020918891707492e-34,200.0
63,9.450172902223959e-37,0.0,9.450172902223959e-37,200.0
64,2.613598184111912e-39,0.0,2.613598184111912e-39,200.0
