m,theory_prob,real_prob,abs_error,sMAPE_percent
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0025624416092184066,0.012474798387096774,0.009912356777878367,131.83744863162858
9,0.0762862519476653,0.062163978494623656,0.01412227345304165,20.400505521626158
10,0.2080166364207737,0.16091229838709678,0.04710433803367692,25.535724411644615
11,0.2524377671017243,0.20026881720430106,0.05216894989742321,23.04757726349193
12,0.20002001257240706,0.1693548387096774,0.030665173862729656,16.60382332814058
13,0.1271191637215273,0.12075772849462366,0.006361435226903633,5.132737602145183
14,0.07081774763991698,0.0726646505376344,0.0018469028977174257,2.5743964711713105
15,0.035380113183733804,0.053805443548387094,0.01842533036465329,41.3190903096471
16,0.016093404962218737,0.09580813172043011,0.07971472675821137,142.47297958790537
17,0.0068783078265216326,0.014616935483870967,0.007738627657349334,72.00316410103471
18,0.002823996099005119,0.0081065188172043,0.005282522718199182,96.65642943070246
19,0.0010814347415559796,0.005670362903225807,0.004588928161669827,135.93204071263713
20,0.00036073039184919927,0.004998319892473118,0.004637589500623919,173.0750507861812
21,9.791902219488933e-05,0.004200268817204301,0.0041023497950094115,190.88741340736038
22,2.0532876588410728e-05,0.003192204301075269,0.0031716714244868585,197.443565974688
23,3.1750099018844615e-06,0.0026461693548387095,0.002642994344936825,199.52063462279347
24,3.4068797753257433e-07,0.007938508064516129,0.007938167376538597,199.98283438880603
25,2.297932735095473e-08,0.0003780241935483871,0.00037800121422103613,199.97568628573399
26,1.1611033481441732e-09,4.2002688172043014e-05,4.200152706869487e-05,199.9889428862528
27,4.3582789993461235e-11,0.0,4.3582789993461235e-11,200.0
28,1.1830030741591734e-12,0.0,1.1830030741591734e-12,200.0
29,2.294342348570187e-14,0.0,2.294342348570187e-14,200.0
30,3.1402017551904093e-16,0.0,3.1402017551904093e-16,200.0
31,2.8828898974900716e-18,0.0,2.8828898974900716e-18,200.0
32,1.4054716153148413e-20,0.0,1.4054716153148413e-20,200.0
