series,expected_x,p95_x,spike_x32_prob,tvd_vs_pred
pred_bs1_marginal_expansion,19.950904669632948,29,0.001194646416422404,0.0
fixed_actual_no_cont_batch,22.881552419354836,32,0.23387096774193553,0.27714038303779936
cont_batch,19.797379032258064,29,0.0013440860215053762,0.028200311917282804
tuple_pmf_mc_reference,19.916666666666664,29,0.0013440860215053762,0.022878292318731362
