bs,layer,num_cont_batch_samples,tvd,mape_percent,wape_percent,pred_expected_x,cont_expected_x,pred_p95,cont_p95,pred_spike_prob,cont_spike_prob
2,0,20000,0.11127577086664571,23.292222417299012,22.255154173329142,1.4950201803319048,1.6064500000000002,2,2,0.49517422913335435,0.60645
2,1,20000,0.034500367156115555,6.888525734007802,6.900073431223111,1.5237146563419333,1.4895,2,2,0.5238575117490244,0.4895
2,2,20000,0.0019339563591313786,0.4906785238420114,0.3867912718262757,1.7376066294115189,1.7396,2,2,0.7376660436408686,0.7396
2,3,20000,0.05975286873322766,14.853868967652373,11.950573746645532,1.780811184354959,1.72115,2,2,0.7808570265440933,0.72115
2,4,20000,0.09491391132980181,24.232025924879192,18.982782265960363,1.8276040386731236,1.73275,2,2,0.8276339750014627,0.73275
2,5,20000,0.02578721553157274,7.576032979099676,5.157443106314548,1.808314458334583,1.7826,2,2,0.8083508369330779,0.7826
2,6,20000,0.054688107131564204,11.120991878413022,10.937621426312841,1.6202755527095092,1.5657999999999999,2,2,0.6203818299205367,0.5658
2,7,20000,0.01739631601743759,3.8145902044807474,3.4792632034875184,1.6336035469905754,1.6511,2,2,0.6337036839825624,0.6511
2,8,20000,0.056372443604970866,11.490372750054108,11.274488720994173,1.6261130339710248,1.56995,2,2,0.6262177387879978,0.56995
2,9,20000,0.05024753415608574,16.781409352750114,10.049506831217148,1.8669080141706602,1.8167,2,2,0.866927774163373,0.8167
2,10,20000,0.030460742758153213,22.379327188256827,6.092148551630642,1.9570053817634963,1.92655,2,2,0.9570080622608247,0.92655
2,11,20000,0.02100278682062085,14.17187765392425,4.200557364124171,1.8984353359654123,1.9194499999999999,2,2,0.8984472131793791,0.91945
2,12,20000,0.019793187180383538,7.185208002796578,3.9586374360767076,1.854844962262944,1.8351,2,2,0.8548690747216637,0.8351
2,13,20000,0.01856885512435834,10.475643056909945,3.7137710248716678,1.8832144283491064,1.9018000000000002,2,2,0.8832311448756417,0.9018
2,14,20000,0.1054812384500339,21.37193112356142,21.09624769000678,1.6629016652297945,1.5575999999999999,2,2,0.6629914518399143,0.5576
2,15,20000,0.06657576950561345,13.513182526169654,13.31515390112269,1.6282685027594501,1.5618999999999998,2,2,0.6283721361325317,0.5619
2,16,20000,0.10691942729803708,21.66754421211867,21.383885459607416,1.6647407005467474,1.558,2,2,0.6648300639223922,0.558
2,17,20000,0.013268810565295436,4.135750259332779,2.6537621130590874,1.8126476182939617,1.79945,2,2,0.8126832144296285,0.79945
2,18,20000,0.0412346076336562,8.461807590418267,8.24692152673124,1.6223236299321462,1.5813000000000001,2,2,0.6224291187829012,0.5813
2,19,20000,0.010140933945480334,2.7680885991018647,2.028186789096067,1.7689468087681504,1.7589000000000001,2,2,0.7689938713568154,0.7589
2,20,20000,0.1250982401492011,25.067183829026735,25.01964802984022,1.648658801108199,1.5237500000000002,2,2,0.6487535206287001,0.52375
2,21,20000,0.08461329082068896,23.78222027246266,16.92265816413779,1.853118036221234,1.7685499999999998,2,2,0.8531406635209615,0.76855
2,22,20000,0.08622375971673038,25.346802770528353,17.244751943346078,1.868889562865356,1.7827,2,2,0.8689066612910432,0.7827
2,23,20000,0.15866833646021622,47.67877033456174,31.733667292043243,1.947811196096233,1.78915,2,2,0.9478147662782246,0.78915
4,0,20000,0.08131922964726655,95.94914973033536,16.26384592945331,2.3668828436010068,2.4927,3,3,0.03165205275498086,0.04925
4,1,20000,0.05526459326283198,65.56786712410295,11.052918652566396,2.4266204387910313,2.4048,3,3,0.04039237811977849,0.03525
4,2,20000,0.03449775270681141,7.211495900991979,6.899550541362282,2.996761696847441,2.9801,4,4,0.2230934035928196,0.1959
4,3,20000,0.04055058884558389,9.785070524064924,8.110117769116778,3.0966953687871897,3.0477000000000003,4,4,0.2644598804116067,0.2256
