x_bin,pred_prob,actual_prob
8.0,0.0005083333333333333,0.00016801075268817206
9.0,0.004125,0.0018481182795698926
10.0,0.013016666666666666,0.006384408602150538
11.0,0.030266666666666667,0.015625
12.0,0.053816666666666665,0.0270497311827957
13.0,0.071525,0.04133064516129032
14.0,0.07055,0.04519489247311828
15.0,0.058725,0.048219086021505375
16.0,0.04795833333333333,0.04956317204301075
17.0,0.04016666666666667,0.045530913978494625
18.0,0.03725,0.046875
19.0,0.039275,0.04536290322580645
20.0,0.04471666666666667,0.04838709677419355
21.0,0.05254166666666667,0.04334677419354839
22.0,0.057883333333333335,0.04233870967741935
23.0,0.0602,0.038306451612903226
24.0,0.05815,0.03494623655913978
25.0,0.057258333333333335,0.03377016129032258
26.0,0.05375,0.0324260752688172
27.0,0.050775,0.029737903225806453
28.0,0.042258333333333335,0.027721774193548387
29.0,0.030391666666666668,0.02217741935483871
30.0,0.0174,0.0198252688172043
31.0,0.006316666666666667,0.019993279569892473
32.0,0.001175,0.23387096774193547
