bs,num_files,num_forwards,mean,std,min,p50,p90,p95,p99,max
1,24,190464,1.912203881048387,0.4789102353678035,1.0,2.0,2.0,3.0,3.0,4.0
2,24,95232,1.728631132392473,0.38582758837178155,1.0,1.5,2.0,2.5,3.0,4.0
4,24,47616,1.6219338037634408,0.3512344223477861,1.0,1.5,2.0,2.25,3.0,3.5
8,24,23808,1.5566563760080645,0.3371767048365698,1.0,1.5,2.0,2.125,2.875,3.25
16,24,11904,1.5252121135752688,0.33496460953845236,1.0,1.4375,2.0,2.0625,2.8125,3.125
32,24,5952,1.5039955057123655,0.3349680127217428,1.0,1.40625,2.0,2.03125,2.8125,3.0625
